"","Title","Location","Posted_Date","Institution","Link","Archive_Date","Job_Type","Category"
"1","Lead Teacher, Children’s Discovery Center","US-WY-Cheyenne","1 month ago(7/11/2024 2:24 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"2","Instructor, Information Technology Pathway","US-WY-Cheyenne","1 month ago(6/27/2024 11:10 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"3","Instructor, Dental Hygiene","US-WY-Cheyenne","1 month ago(6/26/2024 9:03 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"4","Adjunct Instructor, WHP","US-WY-Cheyenne","2 years ago(8/18/2022 1:38 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"5","Adjunct Instructor, Communication","US-WY-Cheyenne","2 years ago(7/21/2022 3:41 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","Humanities"
"6","Adjunct Instructor, Industrial Systems","US-WY-Cheyenne","3 years ago(11/4/2021 1:57 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"7","Adjunct Instructor, Diesel Technology","US-WY-Cheyenne","3 years ago(10/25/2021 9:47 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"8","Adjunct Instructor, Electrical Technology","US-WY-Cheyenne","3 years ago(10/14/2021 9:49 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"9","Subject Matter Expert, Life Enrichment Class","US-WY-Cheyenne","3 years ago(7/20/2021 12:35 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"10","Part-time Instructor of Adult Basic Education (ABE), English as a Second Language (ESL), and Option III High School Credit Recovery","
                Learning Center
","
                08/01/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Humanities"
"11","Instructor/Assistant Professor of Industrial Maintenance","
                Technology & Industry
","
                02/19/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"12","Adjunct Faculty - Welding (Star Valley High School)","
                Technology & Industry
","
                07/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"13","Adjunct Faculty - Substation Technologies","
                Technology & Industry
","
                07/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"14","Adjunct Faculty-Commerical Driver's License (CDL)","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"15","Adjunct Faculty - EMS (Workforce)","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"16","Adjunct Faculty - Industrial Safety","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"17","Instructor/Assistant Professor of Substation Technology","
                Technology & Industry
","
                05/22/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"18","Instructor/Assistant Professor of Electrical & Instrumentation (Evanston Campus)","
                Technology & Industry
","
                05/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"19","Instructor for Commercial Driver's License (CDL) Training (12 Month)","
                Workforce Training
","
                05/21/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"20","Non-Credit Instructor (Star Valley, Wyoming)","
                Afton Outreach
","
                05/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"21","Instructor / Assistant Professor of Powerline Technology","
                Technology & Industry
","
                05/02/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"22","Instructor/Assistant Professor of Business","
                Business Div
","
                03/08/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"23","Adjunct Faculty - Business","
                Business Div
","
                04/01/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Business & Computing"
"24","Adjunct Faculty - Certified Nursing Assistant (CNA)","
                Health & Public Services
","
                03/14/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"25","Adjunct Faculty - Electrical & Instrumentation Technology","
                Technology & Industry
","
                02/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"26","Adjunct Faculty- Physical or Outdoor Activity","
                Health & Public Services
","
                10/09/2018
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","Physical Education"
"27","Adjunct","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"28","Adjunct - Chemistry - Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Science"
"29","Adjunct Instructor- Computer Science- Riverton","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Business & Computing"
"30","Adjunct- Art- Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","The Arts"
"31","Adjunct- General for Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"32","Adjunct- Spanish- Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Language"
"33","Culinary/Hospitality Instructor","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Instructor/Teacher/Faculty","Culinary/Hospitality"
"34","Event Planning Instructor","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"35","Hospitality/Tourism Management Instructor","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Instructor/Teacher/Faculty","Culinary/Hospitality"
"36","Hospitality/Tourism Management Instructor","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Instructor/Teacher/Faculty","Culinary/Hospitality"
"37","Nursing Instructor-Torrington","Eastern Wyoming Campus","08/09/2024","Eastern Wyoming Community College","https://ewc.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"38","Health Technology Instructor (CNA-Douglas Campus)","Eastern Wyoming Campus","08/09/2024","Eastern Wyoming Community College","https://ewc.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"39","CDL Instructor Part-time","Gillette College","08/09/2024","Gillette College","https://www.gillettecollege.org/careers/",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"40","Chemistry Instructor","Gillette College","08/09/2024","Gillette College","https://www.gillettecollege.org/careers/",2024-08-09,"Instructor/Teacher/Faculty","Science"
"41","Electrical Apprenticeship Adjunct Instructor","Gillette College","08/09/2024","Gillette College","https://www.gillettecollege.org/careers/",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"42","Graphic Design Adjunct Instructor","Gillette College","08/09/2024","Gillette College","https://www.gillettecollege.org/careers/",2024-08-09,"Adjunct/Part-Time Faculty","The Arts"
"43","Adjunct Instructor – Part-Time","Gillette College","08/09/2024","Gillette College","https://www.gillettecollege.org/careers/",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"44","Part-time Faculty Pool - Agriculture Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"45","Part-time Faculty Pool - Athletic Trainer Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Physical Education"
"46","Part-time Faculty Pool - Communications Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Humanities"
"47","Part-time Faculty Pool - Engineering Science and Engineering Tech Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Science"
"48","Part-time Faculty Pool - Massage Therapy Instructor (On-line)","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"49","Part-time Faculty Pool - Music Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","The Arts"
"50","Part-time Faculty Pool - Math Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Math"
"51","Part-time Faculty Pool - Accounting Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"52","Part-time Faculty Pool - Computer Science or Information Technology Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"53","Part-time Faculty Pool - Industrial Electricity Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"54","Part-time Faculty Pool - Business Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"55","Part-time Faculty Pool - Adobe Creative Cloud Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"56","Part-time Faculty Pool - Theater Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","The Arts"
"57","Part-time Faculty Pool - Art Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","The Arts"
"58","Part-time Faculty Pool - Spanish Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Language"
"59","Engineering Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"60","Part-time Faculty Pool - Culinary Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Culinary/Hospitality"
"61","Part-time Faculty Pool - Hospitality/Tourism","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Culinary/Hospitality"
"62","Part-time Faculty Pool - Life Science (Biology or A&P) Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Science"
"63","Part-time Faculty Pool - Online Criminal Justice Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Criminal Justice"
"64","Part-time Faculty Pool - Welding Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"65","Part-time Faculty Pool - Machine Tool Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"66","Part-time Faculty Pool - Construction Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"67","Part-time Faculty Pool - Diesel Technology Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"68","Part-time Faculty Pool - Nursing Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"69","Part-time Faculty Pool - Astronomy Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Science"
"70","Part-time Faculty Pool - Anthropology Instructor (Online)","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"71","Part-time Faculty Pool - History Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","History"
"72","Part-time Faculty Pool - History Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","History"
"73","Part-time Faculty Pool - Dental Hygiene Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"74","Part-time Faculty Pool - Education Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Education"
"75","Part-time Faculty Pool - English Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Humanities"
"76","Part-time Faculty Pool - Geology Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Science"
"77","Part-time Faculty Pool - Human Services Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Human Services"
"78","Part-time Faculty Pool - Psychology Instructor","
              Staff/Faculty/Student
","08/09/2024","Sheridan College","https://jobs.sheridan.edu/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"79","Fixed Term Instructor/Assistant Professor of Graphic Design","
                Visual & Performing Arts
","
                07/10/2024
","Northwest College","https://northwestcollege.simplehire.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","The Arts"
"80","Adjunct Clinical Nursing Instructor","
                Health Professions
","
                02/27/2024
","Northwest College","https://northwestcollege.simplehire.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"81","Asst Professor - Criminal Justice","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Criminal Justice"
"82","Asst Professor - Art History","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","History"
"83","Asst Professor - Printmaking","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"84","Post Doc Res Assoc - School of Pharmacy","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"85","Clinical Asst Professor - WWAMI Medical Education Program","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"86","Director/Professor - Powell Research and Extension Center","United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"87","Lecturer, Asst in Human Nutrition and Food - Family & Consumer Sciences","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Science"
"88","Asst Professor - Sociology","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"89","Cent$ible Nutrition Program Educator 1 - North Lincoln/Sublette/Teton Counties","Afton, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"90","Cent$ible Nutrition Program Educator 1 - Carbon County","Rawlins, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"91","Cent$ible Nutrition Program Educator 1 - Wind River Reservation","Fort Washakie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"92","Asst Professor - Anthropology","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"93","Cent$ible Nutrition Program Educator 1 - Sweetwater County","Rock Springs, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"94","Cent$ible Nutrition Program Educator 1 - Natrona County","Casper, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"95","Asst Professor- School of Politics, Public Affairs, and International Studies - MPA","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"96","Assistant Librarian - Special Collections Librarian","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Library"
"97","Associate Librarian - Assistant Dean, User Services","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Library"
"98","Asst Professor - Latin American History","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","History"
"99","Asst Professor - Wyoming and the American West - History","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","History"
"100","Professor of Practice - Energy & Petroleum Engineering","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"101","Temporary Lecturer - Psychology","WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"102","Post Doc Res Assoc - Anthropology","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"103","Clinical Professor - Family Medicine Residency Programs Casper","United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"104","Lecturer,Asst- English","WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Humanities"
"105","Extension Educator, Asst - UW Extension, Community Vitality and Health Sheridan Co","Sheridan, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"106","Extension Educator,Asst - 4-H Youth Development, Goshen Co.","Torrington, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"107","Extension Educator,Asst 4-H Youth Development - Crook Co.","Sundance, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"108","Associate Director/Ext Educator, Sr - UW Extension","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"109","Lecturer, Asst - Engineering & Physical Sciences Deans Office","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Science"
"110","Post Doc Res Assoc - Dr. Koger lab, School of Computing","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"111","Post Doc Res Assoc - School of Pharmacy","United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"112","Lecturer,Asst- BSW Program Director-Division of Social Work","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"113","Extension Educator - Plant Sciences","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"114","Assoc Professor - Social Work (MSW Program Director)","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Social Science"
"115","Asst Professor - Mechanical Engineering","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"116","Assistant Professor - Family & Consumer Sciences (Extension Specialist in Human Nutrition and Food)","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","Extension/Outreach"
"117","Lecturer, Asst - School of Nursing","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"118","Post Doc Res Assoc - Civil & Architectural Engineering & Construction Management","Laramie, WY, United States","08/09/2024","University of Wyoming","https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"119","Instructor, Information Technology Pathway","US-WY-Cheyenne","2 months ago(6/27/2024 11:10 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-16,"Instructor/Teacher/Faculty","CTE - Business & Computing"
