"","Category","Archive_Date","Institution","sum"
"231","Education",2025-12-26,"Total",1
"232","Education",2026-01-02,"Total",1
"233","Education",2026-01-09,"Total",3
"234","Education",2026-01-16,"Total",3
"235","Education",2026-01-23,"Total",1
"236","Education",2026-01-30,"Total",2
"237","Education",2026-02-06,"Total",1
"238","Education",2026-02-13,"Total",2
"239","Education",2026-02-20,"Total",2
"240","Education",2026-02-27,"Total",2
"241","History",2024-08-09,"Total",5
"242","History",2024-08-16,"Total",5
"243","History",2024-08-23,"Total",5
"244","History",2024-08-30,"Total",5
"245","History",2024-09-06,"Total",5
"246","History",2024-09-13,"Total",5
"247","History",2024-09-20,"Total",5
"248","History",2024-09-27,"Total",5
"249","History",2024-10-04,"Total",5
"250","History",2024-10-11,"Total",5
"251","History",2024-10-18,"Total",5
"252","History",2024-10-25,"Total",5
"253","History",2024-11-01,"Total",5
"254","History",2024-11-08,"Total",5
"255","History",2024-11-15,"Total",5
"256","History",2024-11-22,"Total",5
"257","History",2024-11-29,"Total",4
"258","History",2024-12-06,"Total",4
"259","History",2024-12-13,"Total",3
"260","History",2024-12-20,"Total",3
"261","History",2024-12-27,"Total",3
"262","History",2025-01-03,"Total",3
"263","History",2025-01-10,"Total",3
"264","History",2025-01-17,"Total",3
"265","History",2025-01-24,"Total",3
"266","History",2025-01-31,"Total",3
"267","History",2025-02-07,"Total",3
"268","History",2025-02-14,"Total",3
"269","History",2025-02-21,"Total",3
"270","History",2025-02-28,"Total",2
"271","History",2025-03-07,"Total",2
"272","History",2025-03-14,"Total",2
"273","History",2025-03-21,"Total",2
"274","History",2025-03-28,"Total",2
"275","History",2025-04-04,"Total",2
"276","History",2025-04-11,"Total",2
"277","History",2025-04-18,"Total",2
"278","History",2025-04-25,"Total",2
"279","History",2025-05-02,"Total",2
"280","History",2025-05-09,"Total",2
"281","History",2025-05-16,"Total",2
"282","History",2025-05-23,"Total",2
"283","History",2025-05-30,"Total",2
"284","History",2025-06-06,"Total",2
"285","History",2025-06-13,"Total",2
"286","History",2025-06-20,"Total",2
"287","History",2025-06-27,"Total",2
"288","History",2025-07-04,"Total",2
"289","History",2025-07-11,"Total",2
"290","History",2025-07-18,"Total",2
"291","History",2025-07-25,"Total",2
"292","History",2025-08-01,"Total",2
"293","History",2025-08-08,"Total",2
"294","History",2025-08-15,"Total",2
"295","History",2025-08-22,"Total",2
"296","History",2025-08-29,"Total",2
"297","History",2025-09-05,"Total",2
"298","History",2025-09-12,"Total",2
"299","History",2025-09-19,"Total",2
"300","History",2025-09-26,"Total",2
"301","History",2025-10-03,"Total",2
"302","History",2025-10-10,"Total",2
"303","History",2025-10-17,"Total",2
"304","History",2025-10-24,"Total",2
"305","History",2025-10-31,"Total",2
"306","History",2025-11-07,"Total",2
"307","History",2025-11-14,"Total",2
"308","History",2025-11-21,"Total",2
"309","History",2025-11-28,"Total",2
"310","History",2025-12-05,"Total",2
"311","History",2025-12-12,"Total",2
"312","History",2025-12-19,"Total",2
"313","History",2025-12-26,"Total",2
"314","History",2026-01-02,"Total",2
"315","History",2026-01-09,"Total",2
"316","History",2026-01-16,"Total",2
"317","History",2026-01-23,"Total",2
"318","History",2026-01-30,"Total",2
"319","History",2026-02-06,"Total",2
"320","History",2026-02-13,"Total",2
"321","History",2026-02-20,"Total",2
"322","History",2026-02-27,"Total",2
"323","History",2026-08-03,"Total",2
"324","Humanities",2024-08-09,"Total",4
"325","Humanities",2024-08-16,"Total",5
"326","Humanities",2024-08-23,"Total",5
"327","Humanities",2024-08-30,"Total",5
"328","Humanities",2024-09-06,"Total",5
"329","Humanities",2024-09-13,"Total",5
"330","Humanities",2024-09-20,"Total",5
"331","Humanities",2024-09-27,"Total",8
"332","Humanities",2024-10-04,"Total",8
"333","Humanities",2024-10-11,"Total",8
"334","Humanities",2024-10-18,"Total",9
"335","Humanities",2024-10-25,"Total",9
"336","Humanities",2024-11-01,"Total",9
"337","Humanities",2024-11-08,"Total",9
"338","Humanities",2024-11-15,"Total",9
"339","Humanities",2024-11-22,"Total",9
"340","Humanities",2024-11-29,"Total",9
"341","Humanities",2024-12-06,"Total",6
"342","Humanities",2024-12-13,"Total",6
"343","Humanities",2024-12-20,"Total",6
"344","Humanities",2024-12-27,"Total",6
"345","Humanities",2025-01-03,"Total",5
"346","Humanities",2025-01-10,"Total",5
"347","Humanities",2025-01-17,"Total",5
"348","Humanities",2025-01-24,"Total",5
"349","Humanities",2025-01-31,"Total",5
"350","Humanities",2025-02-07,"Total",5
"351","Humanities",2025-02-14,"Total",4
"352","Humanities",2025-02-21,"Total",4
"353","Humanities",2025-02-28,"Total",4
"354","Humanities",2025-03-07,"Total",3
"355","Humanities",2025-03-14,"Total",4
"356","Humanities",2025-03-21,"Total",4
"357","Humanities",2025-03-28,"Total",4
"358","Humanities",2025-04-04,"Total",4
"359","Humanities",2025-04-11,"Total",4
"360","Humanities",2025-04-18,"Total",4
"361","Humanities",2025-04-25,"Total",3
"362","Humanities",2025-05-02,"Total",2
"363","Humanities",2025-05-09,"Total",2
"364","Humanities",2025-05-16,"Total",2
"365","Humanities",2025-05-23,"Total",2
"366","Humanities",2025-05-30,"Total",2
"367","Humanities",2025-06-06,"Total",2
"368","Humanities",2025-06-13,"Total",2
"369","Humanities",2025-06-20,"Total",3
"370","Humanities",2025-06-27,"Total",3
"371","Humanities",2025-07-04,"Total",3
"372","Humanities",2025-07-11,"Total",3
"373","Humanities",2025-07-18,"Total",3
"374","Humanities",2025-07-25,"Total",3
"375","Humanities",2025-08-01,"Total",6
"376","Humanities",2025-08-08,"Total",6
"377","Humanities",2025-08-15,"Total",6
"378","Humanities",2025-08-22,"Total",6
"379","Humanities",2025-08-29,"Total",6
"380","Humanities",2025-09-05,"Total",7
"381","Humanities",2025-09-12,"Total",6
"382","Humanities",2025-09-19,"Total",7
"383","Humanities",2025-09-26,"Total",7
"384","Humanities",2025-10-03,"Total",7
"385","Humanities",2025-10-10,"Total",6
"386","Humanities",2025-10-17,"Total",6
"387","Humanities",2025-10-24,"Total",6
"388","Humanities",2025-10-31,"Total",6
"389","Humanities",2025-11-07,"Total",6
"390","Humanities",2025-11-14,"Total",5
"391","Humanities",2025-11-21,"Total",6
"392","Humanities",2025-11-28,"Total",5
"393","Humanities",2025-12-05,"Total",5
"394","Humanities",2025-12-12,"Total",4
"395","Humanities",2025-12-19,"Total",5
"396","Humanities",2025-12-26,"Total",5
"397","Humanities",2026-01-02,"Total",5
"398","Humanities",2026-01-09,"Total",4
