"Name","Longitude","Latitude","Link","Faculty_Avg_Salary","Faculty_Avg_Salary_Professor","Faculty_Count","Salary_Year","Salary_Note","Salary_Source","Faculty_Avg_Salary_Y1Ago","Faculty_Avg_Salary_Y2Ago"
"Casper College",-106.326712,42.832788,"https://phe.tbe.taleo.net/phe03/ats/careers/v2/searchResults?org=CASPER&cws=40",69721.925,NA,120,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",66089.983051,64851.042969
"Central Wyoming College",-108.426738,43.030556,"https://www.schooljobs.com/careers/cwc",64047.4375,69916.666667,64,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",64488.564516,61973.578125
"Eastern Wyoming Community College",-104.190823,42.079354,"https://ewc.peopleadmin.com/postings/search?page=",59298.909091,69916.2,33,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",57411.558824,53723.707031
"Gillette College",-105.5072,44.2617,"https://www.gillettecollege.org/careers/",69755.951613,82409.3,62,"2024","Reported by Northern Wyoming Community College District, which includes both Sheridan College and Gillette College -- IPEDS does not break this figure out by campus.","IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",61339.230769,64827.160156
"Laramie County Community College",-104.778789,41.104288,"https://careers-lccc.icims.com/jobs/search?pr=",78985.263158,NA,133,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",78456.452991,72436.84375
"Northwest College",-108.7621,44.7604,"https://northwestcollege.simplehire.com/postings/search?page=",66619.54717,81372.666667,53,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",66410,64402.390625
"Sheridan College",-106.943,44.7647,"https://jobs.sheridan.edu/postings/search?page=",69755.951613,82409.3,62,"2024","Reported by Northern Wyoming Community College District, which includes both Sheridan College and Gillette College -- IPEDS does not break this figure out by campus.","IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",61339.230769,64827.160156
"University of Wyoming",-105.57931,41.311773,"https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?",98302.828571,127093.120879,700,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",98284.498623,94325.296875
"Western Wyoming Community College",-109.237126,41.590964,"https://wwcwy.peopleadmin.com/postings/search?page=",68473.439394,81668.375,66,"2024",NA,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",65197.060606,63403.015625
