"X","title","date_posted","position","location","url","District","Archive_Date"
1,"(1500) Assistant MS Track Coach-Cowley","2025-08-25","Athletics/ Activities/","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
2,"Head Coach High School Volleyball-Burlington","2025-12-16","Athletics/ Activities/","Burlington Schools","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
3,"Sub Nurse","2020-09-23","Student Support Services/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
4,"Sub - Teacher","2020-09-23","Substitute/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
5,"Sub- Custodial/Cook/Secretary","2020-09-23","Support Staff/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
6,"Sub - Paraprofessional","2020-09-23","Support Staff/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
7,"Sub- Route Bus Driver - Burlington","2020-09-23","Support Staff/","Bus Barn - South","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
8,"Sub- Route Bus Driver - Cowley","2020-09-23","Support Staff/","Bus Barn - North","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","2026-02-13"
9,"Substitute Teacher","2022-03-30","Substitute/","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2","2026-02-13"
10,"Substitute Route and Activity Bus Drivers","2022-03-29","Transportation","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2","2026-02-13"
11,"Route Bus Driver","2025-05-27","Transportation/","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2","2026-02-13"
12,"8-12 Secondary Science Teacher","2026-02-11","High School Teaching/","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","2026-02-13"
13,"Head Golf Coach","2026-02-11","Athletics/Activities","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","2026-02-13"
14,"Middle School Assistant Volleyball Coach","2026-02-11","Athletics/Activities","Greybull Middle School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","2026-02-13"
15,"Substitute Teacher","2017-07-05","Substitute/","District Wide","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","2026-02-13"
16,"24-25 Substitute Bus Driver / Activity Driver","2024-12-17","Transportation/","Transportation","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","2026-02-13"
17,"Head Boys and Girls Track Coach","2025-02-12","Athletics/Activities","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
18,"Drivers Ed Teacher","2026-01-12","High School Teaching","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
19,"Secondary English Teacher","2026-02-11","High School Teaching/","RMS/RHS","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
20,"21 CCLC After School Program Activity Leaders","2020-01-21","Student Support Services","Laura Irwin Elementary","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
21,"Bus Driver","2022-01-07","Support Staff","District","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
22,"Substitute","2025-07-21","Support Staff","District","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","2026-02-13"
23,"Lifeguard","2025-08-12","Aquatics/","Rawlins Pool","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
24,"Shift Lead-Part Time","2025-08-12","Aquatics/","Rawlins Pool","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
25,"2nd Asst. Track Coach","2025-08-04","Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
26,"Asst Volleyball Coach","2025-10-27","Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
27,"Asst. Football Coach","2025-11-11","Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
28,"Asst. Football Coach","2025-12-08","Athletics/Activities/","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
29,"Head High School Volleyball Coach","2026-01-19","Athletics/Activities/","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
30,"Asst High School Volleyball Coach","2026-01-19","Athletics/Activities/","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
31,"STEM Teacher","2026-02-10","Elementary School Teaching","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
32,"Elementary 2nd Grade Teacher","2026-02-10","Elementary School Teaching/","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
33,"Food Service Worker","2026-01-07","Food Service","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
34,"Substitute Food Service","2025-10-09","Food Service/","Food Service","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
35,"Custodian","2026-01-15","Maintenance/Custodial","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
36,"Custodial - Substitute","2024-02-16","Maintenance/Custodial","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
37,"Substitute Custodian","2025-07-29","Maintenance/Custodial","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
38,"ESL/ELL Teacher","2026-02-10","Middle School Teaching","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
39,"Special Education Resource Teacher","2026-01-22","Special Education/","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
40,"Speech Language Pathologist (SLP)","2026-02-06","Special Education/","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
41,"Substitute Teacher","2025-07-29","Substitute/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
42,"Substitute Bus Driver","2025-07-29","Transportation","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
43,"Bus Driver","2023-09-22","Transportation/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","2026-02-13"
44,"High School Assistant Boys Basketball Coach","2025-03-12","Athletics/Activities/","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
45,"Head High School Speech Coach","2025-06-09","Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
46,"First Assistant (Head) Middle School Football Coach","2025-10-13","Athletics/Activities/","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
47,"Assistant Middle School Track Coach","2026-01-22","Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
48,"Elementary Music Teacher","2026-02-03","Elementary School Teaching/","Saratoga Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
49,"6-12 Band Teacher","2026-01-13","High School Teaching/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
50,"Head Maintenance","2025-10-15","Maintenance/Custodial/","Saratoga Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
51,"Central Office Bookkeeper","2026-02-05","Secretarial/Clerical/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
52,"Elementary School Counselor","2026-01-28","Student Support Services/","Hanna Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
53,"Occupational Therapist(s)","2023-12-22","Student Support Services/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","2026-02-13"
